CPU,Compiler,Test,N,Align,Restrict,Threads/Ranks,TileSize,Time_s,GFLOPS,Speedup_vs_seq,Efficiency_%
12th Gen Intel(R) Core(TM) i9-12900K,icx,mpi-ikj,12288,1,1,16,-,60.67,61.17,9.39,58.69
12th Gen Intel(R) Core(TM) i9-12900K,icx,mpi-ikj,12288,1,1,24,-,46.63,79.58,12.21,50.88
12th Gen Intel(R) Core(TM) i9-12900K,icx,mpi-ikj,12300,1,1,4,-,18.92,196.66,30.25,756.25
12th Gen Intel(R) Core(TM) i9-12900K,icx,mpi-ikj,12300,1,1,8,-,13.41,277.55,42.7,533.75
12th Gen Intel(R) Core(TM) i9-12900K,icx,mpi-ikj,12300,1,1,16,-,22.81,163.18,25.1,156.88
12th Gen Intel(R) Core(TM) i9-12900K,icx,mpi-ikj,12300,1,1,24,-,17.87,208.26,32.04,133.5
12th Gen Intel(R) Core(TM) i9-12900K,icx,mpi-ikj,16400,1,1,4,-,62.14,141.98,21.86,546.5
12th Gen Intel(R) Core(TM) i9-12900K,icx,mpi-ikj,16400,1,1,8,-,39.61,222.74,34.29,428.62
12th Gen Intel(R) Core(TM) i9-12900K,icx,mpi-ikj,16400,1,1,16,-,55.32,159.48,24.55,153.44
12th Gen Intel(R) Core(TM) i9-12900K,icx,mpi-ikj,16400,1,1,24,-,43.9,200.93,30.93,128.88
12th Gen Intel(R) Core(TM) i9-12900K,icx,mpi-ikj,16384,1,1,4,-,235.73,37.31,5.78,144.5
12th Gen Intel(R) Core(TM) i9-12900K,icx,mpi-ikj,16384,1,1,8,-,124.45,70.68,10.95,136.88
12th Gen Intel(R) Core(TM) i9-12900K,icx,mpi-ikj,16384,1,1,16,-,127.58,68.95,10.68,66.75
12th Gen Intel(R) Core(TM) i9-12900K,icx,mpi-ikj,16384,1,1,24,-,57.79,152.21,23.57,98.21
12th Gen Intel(R) Core(TM) i9-12900K,icx,mpi-cannon,4096,1,1,4,-,8.45,16.27,2.33,58.25
12th Gen Intel(R) Core(TM) i9-12900K,icx,mpi-cannon,4096,1,1,16,-,8.7,15.8,2.26,14.12
12th Gen Intel(R) Core(TM) i9-12900K,icx,mpi-cannon,4100,1,1,4,-,9.39,14.68,2.02,50.5
12th Gen Intel(R) Core(TM) i9-12900K,icx,mpi-cannon,4100,1,1,16,-,8.47,16.27,2.24,14.0
12th Gen Intel(R) Core(TM) i9-12900K,icx,mpi-cannon,8192,1,1,4,-,92.42,11.9,1.84,46.0
12th Gen Intel(R) Core(TM) i9-12900K,icx,mpi-cannon,8192,1,1,16,-,74.89,14.68,2.27,14.19
12th Gen Intel(R) Core(TM) i9-12900K,icx,mpi-cannon,8200,1,1,4,-,90.83,12.14,1.68,42.0
12th Gen Intel(R) Core(TM) i9-12900K,icx,mpi-cannon,8200,1,1,16,-,74.52,14.8,2.05,12.81
12th Gen Intel(R) Core(TM) i9-12900K,icx,mpi-cannon,12288,1,1,4,-,290.13,12.79,1.96,49.0
12th Gen Intel(R) Core(TM) i9-12900K,icx,mpi-cannon,12288,1,1,16,-,246.23,15.07,2.31,14.44
12th Gen Intel(R) Core(TM) i9-12900K,icx,mpi-cannon,12300,1,1,4,-,299.52,12.43,1.91,47.75
12th Gen Intel(R) Core(TM) i9-12900K,icx,mpi-cannon,12300,1,1,16,-,246.71,15.09,2.32,14.5
