CPU,Compiler,Test,N,Align,Restrict,Threads/Ranks,TileSize,Time_s,GFLOPS,Speedup
12th Gen Intel(R) Core(TM) i9-12900K,icc,seq-tile,8192,1,1,1,32,101.16,10.87,1.68
12th Gen Intel(R) Core(TM) i9-12900K,icc,seq-tile,8192,1,1,1,64,126.53,8.69,1.35
12th Gen Intel(R) Core(TM) i9-12900K,icc,seq-tile,8192,1,1,1,128,105.83,10.39,1.61
12th Gen Intel(R) Core(TM) i9-12900K,icc,seq-tile,8200,1,1,1,16,93.03,11.85,2.44
12th Gen Intel(R) Core(TM) i9-12900K,icc,seq-tile,8200,1,1,1,32,57.91,19.04,3.91
12th Gen Intel(R) Core(TM) i9-12900K,icc,seq-tile,8200,1,1,1,64,76.99,14.32,2.94
12th Gen Intel(R) Core(TM) i9-12900K,icc,seq-tile,8200,1,1,1,128,63.93,17.25,3.54
12th Gen Intel(R) Core(TM) i9-12900K,icc,seq-tile,12288,1,1,1,16,299.3,12.4,1.9
12th Gen Intel(R) Core(TM) i9-12900K,icc,seq-tile,12288,1,1,1,32,212.77,17.44,2.68
12th Gen Intel(R) Core(TM) i9-12900K,icc,seq-tile,12288,1,1,1,64,342.35,10.84,1.66
12th Gen Intel(R) Core(TM) i9-12900K,icc,seq-tile,12288,1,1,1,128,362.73,10.23,1.57
12th Gen Intel(R) Core(TM) i9-12900K,icc,seq-tile,12300,1,1,1,16,301.12,12.36,2.54
12th Gen Intel(R) Core(TM) i9-12900K,icc,seq-tile,12300,1,1,1,32,182.24,20.42,4.2
12th Gen Intel(R) Core(TM) i9-12900K,icc,seq-tile,12300,1,1,1,64,147.16,25.29,5.2
12th Gen Intel(R) Core(TM) i9-12900K,icc,seq-tile,12300,1,1,1,128,161.45,23.05,4.74
12th Gen Intel(R) Core(TM) i9-12900K,icc,seq-tile,16400,1,1,1,16,651.65,13.54,2.78
12th Gen Intel(R) Core(TM) i9-12900K,icc,seq-tile,16400,1,1,1,32,442.07,19.96,4.1
12th Gen Intel(R) Core(TM) i9-12900K,icc,seq-tile,16400,1,1,1,64,430.51,20.49,4.21
12th Gen Intel(R) Core(TM) i9-12900K,icc,seq-tile,16400,1,1,1,128,403.76,21.85,4.49
12th Gen Intel(R) Core(TM) i9-12900K,icc,seq-tile,16384,1,1,1,16,839.33,10.48,1.62
12th Gen Intel(R) Core(TM) i9-12900K,icc,seq-tile,16384,1,1,1,32,949.23,9.27,1.44
12th Gen Intel(R) Core(TM) i9-12900K,icc,seq-tile,16384,1,1,1,64,968.41,9.08,1.41
12th Gen Intel(R) Core(TM) i9-12900K,icc,seq-tile,16384,1,1,1,128,856.19,10.27,1.59
12th Gen Intel(R) Core(TM) i9-12900K,icc,mkl-seq,4096,1,1,1,-,2.23,61.63,8.83
12th Gen Intel(R) Core(TM) i9-12900K,icc,mkl-seq,4100,1,1,1,-,2.21,62.29,12.23
12th Gen Intel(R) Core(TM) i9-12900K,icc,mkl-seq,8192,1,1,1,-,17.62,62.41,9.66
12th Gen Intel(R) Core(TM) i9-12900K,icc,mkl-seq,8200,1,1,1,-,17.67,62.39,12.82
12th Gen Intel(R) Core(TM) i9-12900K,icc,mkl-seq,12288,1,1,1,-,59.31,62.57,9.6
12th Gen Intel(R) Core(TM) i9-12900K,icc,mkl-seq,12300,1,1,1,-,59.59,62.46,12.83
12th Gen Intel(R) Core(TM) i9-12900K,icc,mkl-seq,16400,1,1,1,-,141.2,62.48,12.84
12th Gen Intel(R) Core(TM) i9-12900K,icc,mkl-seq,16384,1,1,1,-,140.92,62.42,9.67
12th Gen Intel(R) Core(TM) i9-12900K,icx,seq-ikj,4096,0,0,1,-,5.82,23.62,3.38
12th Gen Intel(R) Core(TM) i9-12900K,icx,seq-ikj,4096,1,1,1,-,4.71,29.19,4.18
12th Gen Intel(R) Core(TM) i9-12900K,icx,seq-ikj,4100,0,0,1,-,3.71,37.18,7.3
12th Gen Intel(R) Core(TM) i9-12900K,icx,seq-ikj,4100,1,1,1,-,2.74,50.34,9.89
12th Gen Intel(R) Core(TM) i9-12900K,icx,seq-ikj,8192,0,0,1,-,47.23,23.28,3.6
12th Gen Intel(R) Core(TM) i9-12900K,icx,seq-ikj,8192,1,1,1,-,42.9,25.63,3.97
12th Gen Intel(R) Core(TM) i9-12900K,icx,seq-ikj,8200,0,0,1,-,27.11,40.67,8.36
12th Gen Intel(R) Core(TM) i9-12900K,icx,seq-ikj,8200,1,1,1,-,26.16,42.16,8.66
12th Gen Intel(R) Core(TM) i9-12900K,icx,seq-ikj,12288,0,0,1,-,154.39,24.04,3.69
12th Gen Intel(R) Core(TM) i9-12900K,icx,seq-ikj,12288,1,1,1,-,127.05,29.21,4.48
